City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,78.46,light rain,-23.1203,-134.9692,Pension Maro'i
8,Najran,SA,77.0,few clouds,17.4924,44.1277,محمد هادي ال فطيح
9,Sinnamary,GF,78.06,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
16,Matamoros,MX,90.0,broken clouds,25.5333,-103.25,Quinta Belem
18,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
19,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
25,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
27,Labuhan,ID,77.61,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
31,Culiacan,MX,84.0,broken clouds,24.7994,-107.3897,Ramada by Wyndham Hola Culiacan
34,Namibe,AO,79.45,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Ixtapa,MX,81.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
38,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
40,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
54,Miraflores,MX,82.4,scattered clouds,19.2167,-98.8083,Hotel Mansión
57,Puerto Escondido,MX,84.7,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
58,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Le Vauclin,MQ,78.8,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
71,Lufilufi,WS,89.6,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
72,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
78,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Saint George,US,84.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
83,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Itarema,BR,79.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
86,Kavieng,PG,78.57,light rain,-2.5744,150.7967,Nusa Island Retreat
87,Butaritari,KI,81.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
89,Atuona,PF,80.6,few clouds,-9.8,-139.0333,Villa Enata
91,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
94,Qui Nhon,VN,75.09,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
96,Male,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
97,Guane,CU,83.61,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
99,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
106,Bambanglipuro,ID,76.26,light rain,-7.95,110.2833,Puri Brata
107,Biak,ID,78.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
108,Polewali,ID,77.52,overcast clouds,-3.4324,119.3435,Lilianto Hotel
113,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
119,Soyo,AO,79.02,broken clouds,-6.1349,12.3689,Hotel Mpampa
121,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
123,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
124,Kadi,IN,84.2,smoke,23.3,72.3333,Ahmedkhan Saheb Ka Sakkarpura
126,Sao Filipe,CV,75.07,clear sky,14.8961,-24.4956,Tortuga B&B
127,Iralaya,HN,86.0,smoke,15.0,-83.2333,Iglesia morava renovada
128,Quelimane,MZ,77.0,scattered clouds,-17.8786,36.8883,Hotel Flamingo
131,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Pahrump,US,86.0,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
136,Jibuti,DJ,80.6,haze,11.5,42.5,Orchid Main Camp Goubet
137,Nisia Floresta,BR,80.6,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
140,Bubaque,GW,77.0,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
